2017-08-29 13:45 Tue // ['190058', '157802', '135'] // ['SIU7', '17.450', '17.441', '17.540', '17.665', '17.410', '100740', '28784', '135'] // [['SIQ7', '', '17.431', '', '', '', '1', '0', '0'], ['SIU7', '17.450', '17.441', '17.540', '17.665', '17.410', '100740', '28784', '135'], ['SIV7', '17.475', '17.467', '17.510', '17.675', '17.475', '302', '842', '0'], ['SIX7', '', '0.000', '', '', '', '0', '', ''], ['SIZ7', '17.530', '17.529', '17.610', '17.755', '17.495', '74302', '144535', '0'], ['SIF8', '17.580', '17.560', '17.650', '17.650', '17.580', '7', '55', '0'], ['SIH8', '17.625', '17.622', '17.700', '17.835', '17.605', '1088', '9066', '0'], ['SIK8', '17.665', '17.684', '17.810', '17.840', '17.665', '59', '2722', '0'], ['SIN8', '17.800', '17.746', '17.880', '17.880', '17.800', '8', '1464', '0'], ['SIU8', '17.965', '17.808', '17.890', '17.965', '17.890', '90', '319', '0'], ['SIZ8', '17.955', '17.904', '17.950', '17.975', '17.950', '14', '1687', '0'], ['SIF9', '', '17.951', '', '', '', '0', '49', '0'], ['SIH9', '', '17.993', '', '', '', '0', '', ''], ['SIK9', '', '18.028', '', '', '', '0', '', ''], ['SIN9', '18.065', '18.066', '18.000', '18.240', '18.000', '8', '110', '0'], ['SIZ9', '', '18.261', '', '', '', '0', '129', '0'], ['SIN0', '', '18.492', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.704', '', '', '', '0', '295', '0'], ['SIN1', '', '18.877', '', '', '', '0', '', ''], ['SIZ1', '', '19.050', '', '', '', '0', '', ''], ['SIN2', '', '19.222', '', '', '', '0', '', '']]
2017-08-30 13:45 Wed // ['182823', '201958', '388'] // ['SIZ7', '17.510', '17.516', '17.440', '17.555', '17.370', '83407', '151651', '188'] // [['SIU7', '17.410', '17.426', '17.390', '17.460', '17.285', '20192', '14125', '200'], ['SIV7', '17.425', '17.451', '17.425', '17.475', '17.345', '213', '873', '0'], ['SIX7', '', '0.000', '', '', '', '0', '', ''], ['SIZ7', '17.510', '17.516', '17.440', '17.555', '17.370', '83407', '151651', '188'], ['SIF8', '', '17.547', '', '', '', '10', '56', '0'], ['SIH8', '17.600', '17.608', '17.545', '17.625', '17.490', '1220', '9263', '0'], ['SIK8', '', '17.671', '', '', '', '62', '2729', '0'], ['SIN8', '', '17.734', '', '', '', '24', '1463', '0'], ['SIU8', '', '17.797', '', '', '', '47', '382', '0'], ['SIZ8', '', '17.893', '', '', '', '66', '1696', '0'], ['SIF9', '', '17.940', '', '', '', '0', '49', '0'], ['SIH9', '', '17.982', '', '', '', '0', '', ''], ['SIK9', '', '18.017', '', '', '', '0', '', ''], ['SIN9', '', '18.055', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.250', '', '', '', '2', '129', '0'], ['SIN0', '', '18.481', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.693', '', '', '', '0', '295', '0'], ['SIN1', '', '18.866', '', '', '', '0', '', ''], ['SIZ1', '', '19.039', '', '', '', '0', '', ''], ['SIN2', '', '19.211', '', '', '', '0', '', '']]
2017-09-14 13:45 Thu // ['188971', '92814', '1060'] // ['SIZ7', '17.795', '17.867', '17.845', '17.860', '17.660', '76325', '157789', '57'] // [['SIU7', '17.730', '17.772', '17.650', '17.750', '17.580', '190', '922', '0'], ['SIV7', '17.700', '17.797', '17.760', '17.770', '17.600', '165', '1028', '0'], ['SIX7', '17.765', '17.832', '17.760', '17.780', '17.645', '27', '64', '0'], ['SIZ7', '17.795', '17.867', '17.845', '17.860', '17.660', '76325', '157789', '57'], ['SIF8', '17.800', '17.903', '17.865', '17.870', '17.800', '12', '133', '0'], ['SIH8', '17.885', '17.967', '17.835', '17.945', '17.770', '4000', '17174', '150'], ['SIK8', '17.965', '18.034', '17.885', '17.975', '17.870', '2500', '4624', '350'], ['SIN8', '18.025', '18.100', '18.025', '18.025', '18.025', '686', '2279', '300'], ['SIU8', '18.100', '18.169', '18.095', '18.120', '18.095', '905', '1631', '150'], ['SIZ8', '18.170', '18.267', '18.185', '18.185', '18.170', '638', '2744', '53'], ['SIF9', '', '18.314', '', '', '', '0', '49', '0'], ['SIH9', '', '18.356', '', '', '', '0', '', ''], ['SIK9', '', '18.391', '', '', '', '0', '', ''], ['SIN9', '', '18.440', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.607', '', '', '', '0', '129', '0'], ['SIN0', '', '18.790', '', '', '', '0', '1', '0'], ['SIZ0', '18.900', '18.957', '18.900', '18.900', '18.900', '4', '294', '0'], ['SIN1', '', '19.130', '', '', '', '0', '', ''], ['SIZ1', '', '19.303', '', '', '', '0', '', ''], ['SIN2', '', '19.475', '', '', '', '0', '', '']]
2017-09-15 13:45 Fri // ['191548', '96524', '800'] // ['SIZ7', '17.695', '17.789', '17.845', '17.915', '17.650', '70278', '156795', '0'] // [['SIU7', '17.620', '17.698', '17.760', '17.800', '17.565', '163', '736', '0'], ['SIV7', '17.615', '17.720', '17.825', '17.835', '17.585', '129', '941', '0'], ['SIX7', '17.710', '17.755', '17.870', '17.870', '17.645', '26', '64', '0'], ['SIZ7', '17.695', '17.789', '17.845', '17.915', '17.650', '70278', '156795', '0'], ['SIF8', '17.710', '17.825', '17.910', '17.910', '17.710', '7', '136', '0'], ['SIH8', '17.795', '17.891', '17.960', '17.990', '17.760', '1220', '18765', '0'], ['SIK8', '17.880', '17.964', '17.860', '17.965', '17.840', '599', '5751', '0'], ['SIN8', '18.040', '18.038', '18.040', '18.040', '18.040', '204', '2301', '200'], ['SIU8', '18.080', '18.112', '18.080', '18.080', '18.080', '96', '2273', '400'], ['SIZ8', '18.135', '18.214', '18.295', '18.305', '18.115', '158', '3207', '200'], ['SIF9', '', '18.261', '', '', '', '0', '49', '0'], ['SIH9', '', '18.303', '', '', '', '0', '', ''], ['SIK9', '', '18.338', '', '', '', '0', '', ''], ['SIN9', '', '18.387', '', '', '', '0', '110', '0'], ['SIZ9', '', '18.554', '', '', '', '0', '129', '0'], ['SIN0', '', '18.737', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.904', '', '', '', '0', '290', '0'], ['SIN1', '', '19.077', '', '', '', '0', '', ''], ['SIZ1', '', '19.250', '', '', '', '0', '', ''], ['SIN2', '', '19.422', '', '', '', '0', '', '']]
2017-09-19 13:45 Tue // ['193459', '90860', '1011'] // ['SIZ7', '17.290', '17.156', '17.245', '17.340', '17.160', '63591', '156584', '500'] // [['SIU7', '17.225', '17.071', '17.135', '17.225', '17.115', '120', '486', '0'], ['SIV7', '17.175', '17.091', '17.195', '17.250', '17.110', '104', '984', '0'], ['SIX7', '17.230', '17.124', '17.150', '17.305', '17.150', '31', '64', '0'], ['SIZ7', '17.290', '17.156', '17.245', '17.340', '17.160', '63591', '156584', '500'], ['SIF8', '17.320', '17.190', '17.235', '17.355', '17.200', '18', '140', '0'], ['SIH8', '17.370', '17.255', '17.300', '17.425', '17.265', '663', '20132', '508'], ['SIK8', '17.440', '17.325', '17.445', '17.445', '17.355', '150', '6180', '0'], ['SIN8', '', '17.396', '', '', '', '103', '2691', '0'], ['SIU8', '17.580', '17.467', '17.590', '17.590', '17.575', '4', '2337', '0'], ['SIZ8', '17.725', '17.567', '17.620', '17.725', '17.620', '18', '3282', '0'], ['SIF9', '', '17.614', '', '', '', '0', '49', '0'], ['SIH9', '', '17.657', '', '', '', '0', '', ''], ['SIK9', '', '17.695', '', '', '', '0', '', ''], ['SIN9', '', '17.744', '', '', '', '0', '110', '0'], ['SIZ9', '', '17.911', '', '', '', '0', '129', '3'], ['SIN0', '', '18.094', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.261', '', '', '', '0', '290', '0'], ['SIN1', '', '18.434', '', '', '', '0', '', ''], ['SIZ1', '', '18.607', '', '', '', '0', '', ''], ['SIN2', '', '18.779', '', '', '', '0', '', '']]
2017-09-20 13:45 Wed // ['192994', '70871', '111'] // ['SIZ7', '17.370', '17.279', '17.345', '17.445', '17.295', '45270', '155867', '111'] // [['SIU7', '17.250', '17.195', '17.255', '17.340', '17.250', '63', '418', '0'], ['SIV7', '17.260', '17.214', '17.285', '17.335', '17.255', '116', '1026', '0'], ['SIX7', '17.270', '17.247', '17.325', '17.330', '17.270', '10', '62', '0'], ['SIZ7', '17.370', '17.279', '17.345', '17.445', '17.295', '45270', '155867', '111'], ['SIF8', '17.355', '17.313', '17.350', '17.355', '17.350', '3', '154', '0'], ['SIH8', '17.435', '17.377', '17.460', '17.535', '17.405', '3417', '20278', '0'], ['SIK8', '17.510', '17.447', '17.555', '17.565', '17.470', '440', '6208', '0'], ['SIN8', '17.550', '17.517', '17.570', '17.570', '17.550', '36', '2789', '0'], ['SIU8', '17.620', '17.588', '17.695', '17.695', '17.620', '23', '2336', '0'], ['SIZ8', '17.740', '17.689', '17.720', '17.755', '17.720', '104', '3277', '0'], ['SIF9', '', '17.736', '', '', '', '0', '49', '0'], ['SIH9', '17.900', '17.780', '17.900', '17.900', '17.900', '3', '', ''], ['SIK9', '', '17.820', '', '', '', '0', '', ''], ['SIN9', '', '17.870', '', '', '', '10', '110', '0'], ['SIZ9', '', '18.037', '', '', '', '0', '129', '0'], ['SIN0', '', '18.220', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.387', '', '', '', '0', '290', '0'], ['SIN1', '', '18.560', '', '', '', '0', '', ''], ['SIZ1', '', '18.733', '', '', '', '0', '', ''], ['SIN2', '', '18.905', '', '', '', '0', '', '']]
2017-09-21 13:45 Thu // ['192251', '86264', '134'] // ['SIZ7', '17.025', '17.334', '17.225', '17.225', '16.865', '81291', '153982', '134'] // [['SIU7', '16.845', '17.251', '16.895', '16.920', '16.800', '208', '369', '0'], ['SIV7', '16.955', '17.265', '17.100', '17.100', '16.810', '147', '1034', '0'], ['SIX7', '16.980', '17.301', '17.100', '17.100', '16.870', '96', '69', '0'], ['SIZ7', '17.025', '17.334', '17.225', '17.225', '16.865', '81291', '153982', '134'], ['SIF8', '17.065', '17.367', '17.160', '17.160', '16.980', '38', '153', '0'], ['SIH8', '17.100', '17.431', '17.205', '17.205', '16.965', '2003', '21197', '0'], ['SIK8', '17.185', '17.497', '17.285', '17.285', '17.080', '576', '6330', '0'], ['SIN8', '17.270', '17.563', '17.150', '17.290', '17.145', '147', '2802', '0'], ['SIU8', '', '17.631', '', '', '', '171', '2337', '0'], ['SIZ8', '17.440', '17.729', '17.415', '17.440', '17.270', '81', '3383', '0'], ['SIF9', '', '17.776', '', '', '', '0', '49', '0'], ['SIH9', '17.530', '17.820', '17.590', '17.590', '17.470', '24', '3', '0'], ['SIK9', '', '17.860', '', '', '', '0', '', ''], ['SIN9', '', '17.910', '', '', '', '0', '120', '0'], ['SIZ9', '17.760', '18.077', '17.760', '17.760', '17.760', '1', '129', '0'], ['SIN0', '', '18.260', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.427', '', '', '', '0', '293', '0'], ['SIN1', '', '18.600', '', '', '', '0', '', ''], ['SIZ1', '', '18.773', '', '', '', '0', '', ''], ['SIN2', '', '18.945', '', '', '', '0', '', '']]
2017-09-22 13:45 Fri // ['189965', '90797', '260'] // ['SIZ7', '16.990', '17.018', '17.035', '17.100', '16.940', '48486', '151569', '160'] // [['SIU7', '16.940', '16.937', '16.985', '16.985', '16.940', '64', '278', '0'], ['SIV7', '16.920', '16.946', '16.985', '17.010', '16.890', '95', '1052', '0'], ['SIX7', '16.960', '16.985', '17.025', '17.065', '16.925', '35', '73', '0'], ['SIZ7', '16.990', '17.018', '17.035', '17.100', '16.940', '48486', '151569', '160'], ['SIF8', '17.055', '17.050', '17.075', '17.075', '17.030', '21', '149', '0'], ['SIH8', '17.085', '17.113', '17.110', '17.175', '17.040', '352', '21389', '100'], ['SIK8', '17.150', '17.178', '17.220', '17.220', '17.150', '133', '6212', '0'], ['SIN8', '17.225', '17.243', '17.225', '17.225', '17.225', '54', '2918', '0'], ['SIU8', '17.280', '17.309', '17.280', '17.280', '17.280', '18', '2338', '0'], ['SIZ8', '17.380', '17.407', '17.425', '17.460', '17.335', '91', '3393', '0'], ['SIF9', '', '17.454', '', '', '', '0', '49', '0'], ['SIH9', '', '17.498', '', '', '', '0', '3', '0'], ['SIK9', '', '17.538', '', '', '', '0', '', ''], ['SIN9', '', '17.588', '', '', '', '0', '120', '0'], ['SIZ9', '', '17.755', '', '', '', '0', '128', '0'], ['SIN0', '', '17.938', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.105', '', '', '', '0', '293', '0'], ['SIN1', '', '18.278', '', '', '', '0', '', ''], ['SIZ1', '', '18.451', '', '', '', '0', '', ''], ['SIN2', '', '18.623', '', '', '', '0', '', '']]
2017-09-25 13:45 Mon // ['188644', '54975', '366'] // ['SIZ7', '17.145', '16.984', '17.030', '17.195', '16.870', '82715', '150102', '123'] // [['SIU7', '17.090', '16.903', '16.850', '17.090', '16.810', '131', '192', '0'], ['SIV7', '17.075', '16.912', '16.900', '17.110', '16.805', '165', '1067', '0'], ['SIX7', '17.150', '16.951', '16.965', '17.150', '16.850', '111', '77', '0'], ['SIZ7', '17.145', '16.984', '17.030', '17.195', '16.870', '82715', '150102', '123'], ['SIF8', '17.180', '17.016', '17.025', '17.215', '16.960', '29', '159', '0'], ['SIH8', '17.230', '17.079', '17.060', '17.280', '16.965', '385', '21457', '243'], ['SIK8', '17.290', '17.143', '17.115', '17.345', '17.030', '200', '6277', '0'], ['SIN8', '', '17.207', '', '', '', '55', '2964', '0'], ['SIU8', '', '17.273', '', '', '', '0', '2348', '0'], ['SIZ8', '17.540', '17.370', '17.285', '17.550', '17.285', '133', '3410', '0'], ['SIF9', '', '17.417', '', '', '', '0', '49', '0'], ['SIH9', '', '17.461', '', '', '', '0', '3', '0'], ['SIK9', '', '17.501', '', '', '', '0', '', ''], ['SIN9', '', '17.551', '', '', '', '0', '120', '0'], ['SIZ9', '', '17.718', '', '', '', '0', '125', '0'], ['SIN0', '', '17.901', '', '', '', '0', '1', '0'], ['SIZ0', '', '18.068', '', '', '', '0', '293', '0'], ['SIN1', '', '18.241', '', '', '', '0', '', ''], ['SIZ1', '', '18.414', '', '', '', '0', '', ''], ['SIN2', '', '18.586', '', '', '', '0', '', '']]
2017-09-27 13:45 Wed // ['186906', '92345', '179'] // ['SIZ7', '16.830', '16.883', '16.870', '16.940', '16.750', '76302', '148209', '179'] // [['SIU7', '16.780', '16.804', '16.700', '16.815', '16.695', '43', '88', '0'], ['SIV7', '16.750', '16.809', '16.810', '16.835', '16.695', '87', '1022', '0'], ['SIX7', '16.790', '16.849', '16.840', '16.875', '16.730', '122', '131', '0'], ['SIZ7', '16.830', '16.883', '16.870', '16.940', '16.750', '76302', '148209', '179'], ['SIF8', '16.875', '16.916', '16.805', '16.900', '16.805', '57', '240', '0'], ['SIH8', '16.905', '16.977', '16.945', '17.025', '16.850', '1013', '21100', '0'], ['SIK8', '16.980', '17.041', '17.040', '17.090', '16.950', '269', '6527', '0'], ['SIN8', '17.050', '17.105', '17.105', '17.105', '17.000', '131', '3097', '0'], ['SIU8', '17.105', '17.170', '17.130', '17.130', '17.105', '11', '2399', '0'], ['SIZ8', '17.245', '17.266', '17.220', '17.300', '17.140', '62', '3502', '0'], ['SIF9', '', '17.313', '', '', '', '0', '49', '0'], ['SIH9', '', '17.357', '', '', '', '0', '3', '0'], ['SIK9', '', '17.397', '', '', '', '0', '', ''], ['SIN9', '', '17.448', '', '', '', '0', '120', '0'], ['SIZ9', '', '17.615', '', '', '', '0', '125', '0'], ['SIN0', '', '17.798', '', '', '', '0', '1', '0'], ['SIZ0', '18.040', '17.965', '18.040', '18.040', '18.040', '20', '293', '0'], ['SIN1', '', '18.138', '', '', '', '0', '', ''], ['SIZ1', '', '18.311', '', '', '', '0', '', ''], ['SIN2', '', '18.483', '', '', '', '0', '', '']]
2017-09-28 13:45 Thu // ['184997', '86861', '0'] // ['SIZ7', '16.850', '16.827', '16.780', '16.890', '16.705', '62127', '146207', '0'] // [['SIV7', '16.770', '16.753', '16.750', '16.815', '16.655', '110', '918', '0'], ['SIX7', '16.800', '16.793', '16.760', '16.855', '16.670', '193', '201', '0'], ['SIZ7', '16.850', '16.827', '16.780', '16.890', '16.705', '62127', '146207', '0'], ['SIF8', '16.760', '16.860', '16.760', '16.760', '16.760', '1', '234', '0'], ['SIH8', '16.950', '16.922', '16.880', '16.985', '16.850', '453', '21153', '0'], ['SIK8', '17.005', '16.988', '17.010', '17.010', '16.955', '195', '6634', '0'], ['SIN8', '', '17.053', '', '', '', '63', '3110', '0'], ['SIU8', '', '17.118', '', '', '', '6', '2406', '0'], ['SIZ8', '17.170', '17.214', '17.165', '17.220', '17.120', '13', '3506', '0'], ['SIF9', '', '17.261', '', '', '', '0', '49', '0'], ['SIH9', '', '17.305', '', '', '', '0', '3', '0'], ['SIK9', '', '17.345', '', '', '', '0', '', ''], ['SIN9', '', '17.396', '', '', '', '0', '120', '0'], ['SIZ9', '17.620', '17.563', '17.620', '17.620', '17.620', '1', '125', '0'], ['SIN0', '', '17.746', '', '', '', '0', '1', '0'], ['SIZ0', '', '17.913', '', '', '', '0', '293', '0'], ['SIN1', '', '18.086', '', '', '', '0', '', ''], ['SIZ1', '', '18.259', '', '', '', '0', '', ''], ['SIN2', '', '18.431', '', '', '', '0', '', '']]
2017-09-29 13:45 Fri // ['184424', '69407', '7'] // ['SIZ7', '16.705', '16.847', '16.900', '16.905', '16.655', '64454', '145673', '0'] // [['SIV7', '16.780', '16.773', '16.810', '16.810', '16.715', '15', '841', '0'], ['SIX7', '16.645', '16.811', '16.810', '16.860', '16.645', '86', '233', '0'], ['SIZ7', '16.705', '16.847', '16.900', '16.905', '16.655', '64454', '145673', '0'], ['SIF8', '16.785', '16.880', '16.870', '16.875', '16.785', '32', '234', '0'], ['SIH8', '16.775', '16.942', '16.985', '16.985', '16.750', '1027', '21133', '0'], ['SIK8', '16.855', '17.007', '16.965', '16.965', '16.820', '205', '6677', '0'], ['SIN8', '17.035', '17.073', '17.060', '17.070', '16.940', '233', '3111', '0'], ['SIU8', '16.960', '17.138', '16.960', '16.960', '16.960', '52', '2419', '0'], ['SIZ8', '17.070', '17.234', '17.210', '17.240', '17.050', '27', '3511', '7'], ['SIF9', '', '17.281', '', '', '', '0', '49', '0'], ['SIH9', '', '17.325', '', '', '', '0', '3', '0'], ['SIK9', '', '17.365', '', '', '', '0', '', ''], ['SIN9', '', '17.416', '', '', '', '0', '120', '0'], ['SIZ9', '', '17.583', '', '', '', '0', '126', '0'], ['SIN0', '', '17.766', '', '', '', '0', '1', '0'], ['SIZ0', '17.990', '17.933', '17.990', '17.995', '17.990', '62', '293', '0'], ['SIN1', '', '18.106', '', '', '', '0', '', ''], ['SIZ1', '', '18.279', '', '', '', '0', '', ''], ['SIN2', '', '18.451', '', '', '', '0', '', '']]
2017-10-02 13:45 Mon // ['182960', '73575', '101'] // ['SIZ7', '16.645', '16.676', '16.670', '16.750', '16.565', '56293', '144351', '101'] // [['SIV7', '16.570', '16.607', '16.595', '16.635', '16.525', '17', '570', '0'], ['SIX7', '16.615', '16.642', '16.630', '16.710', '16.575', '178', '252', '0'], ['SIZ7', '16.645', '16.676', '16.670', '16.750', '16.565', '56293', '144351', '101'], ['SIF8', '16.675', '16.709', '16.695', '16.715', '16.625', '89', '240', '0'], ['SIH8', '16.745', '16.771', '16.770', '16.845', '16.680', '475', '21001', '0'], ['SIK8', '16.800', '16.837', '16.770', '16.895', '16.770', '130', '6727', '0'], ['SIN8', '', '16.903', '', '', '', '22', '3251', '0'], ['SIU8', '17.035', '16.970', '17.035', '17.035', '17.035', '7', '2429', '0'], ['SIZ8', '17.065', '17.068', '17.025', '17.070', '17.000', '83', '3523', '0'], ['SIF9', '', '17.116', '', '', '', '0', '49', '0'], ['SIH9', '', '17.162', '', '', '', '50', '3', '0'], ['SIK9', '', '17.204', '', '', '', '0', '', ''], ['SIN9', '', '17.257', '', '', '', '0', '120', '0'], ['SIZ9', '', '17.426', '', '', '', '0', '126', '0'], ['SIN0', '', '17.614', '', '', '', '0', '1', '0'], ['SIZ0', '', '17.786', '', '', '', '0', '317', '0'], ['SIN1', '', '17.959', '', '', '', '0', '', ''], ['SIZ1', '', '18.132', '', '', '', '0', '', ''], ['SIN2', '', '18.304', '', '', '', '0', '', '']]
2017-10-03 13:45 Tue // ['183209', '64368', '274'] // ['SIZ7', '16.640', '16.654', '16.605', '16.690', '16.570', '43641', '144437', '256'] // [['SIV7', '16.585', '16.585', '16.530', '16.585', '16.530', '32', '563', '0'], ['SIX7', '16.630', '16.620', '16.545', '16.635', '16.545', '87', '241', '0'], ['SIZ7', '16.640', '16.654', '16.605', '16.690', '16.570', '43641', '144437', '256'], ['SIF8', '16.690', '16.687', '16.640', '16.695', '16.625', '104', '246', '0'], ['SIH8', '16.750', '16.750', '16.700', '16.780', '16.675', '3479', '21103', '18'], ['SIK8', '16.810', '16.815', '16.755', '16.810', '16.755', '579', '6778', '0'], ['SIN8', '', '16.880', '', '', '', '365', '3280', '0'], ['SIU8', '', '16.947', '', '', '', '66', '2429', '0'], ['SIZ8', '17.015', '17.045', '16.975', '17.015', '16.975', '61', '3519', '0'], ['SIF9', '', '17.093', '', '', '', '0', '49', '0'], ['SIH9', '', '17.139', '', '', '', '0', '5', '0'], ['SIK9', '', '17.181', '', '', '', '0', '', ''], ['SIN9', '', '17.234', '', '', '', '0', '120', '0'], ['SIU9', '', '', '', '', '', '0', '', ''], ['SIZ9', '', '17.403', '', '', '', '0', '126', '0'], ['SIN0', '', '17.591', '', '', '', '0', '1', '0'], ['SIZ0', '17.900', '17.763', '17.900', '17.900', '17.900', '15', '312', '0'], ['SIN1', '', '17.936', '', '', '', '0', '', ''], ['SIZ1', '', '18.109', '', '', '', '0', '', ''], ['SIN2', '', '18.281', '', '', '', '0', '', '']]
2017-10-04 13:45 Wed // ['183494', '53169', '100'] // ['SIZ7', '16.650', '16.650', '16.665', '16.920', '16.555', '67104', '143274', '0'] // [['SIV7', '16.585', '16.581', '16.645', '16.820', '16.515', '44', '549', '0'], ['SIX7', '16.590', '16.616', '16.705', '16.860', '16.590', '44', '263', '0'], ['SIZ7', '16.650', '16.650', '16.665', '16.920', '16.555', '67104', '143274', '0'], ['SIF8', '16.660', '16.682', '16.815', '16.915', '16.650', '169', '315', '0'], ['SIH8', '16.740', '16.745', '16.745', '16.995', '16.655', '1250', '22444', '0'], ['SIK8', '16.795', '16.808', '16.915', '16.915', '16.725', '286', '6634', '25'], ['SIN8', '', '16.871', '', '', '', '96', '3457', '50'], ['SIU8', '16.960', '16.938', '16.960', '16.960', '16.960', '5', '2428', '25'], ['SIZ8', '17.040', '17.036', '17.080', '17.080', '17.035', '31', '3517', '0'], ['SIF9', '', '17.084', '', '', '', '0', '49', '0'], ['SIH9', '', '17.130', '', '', '', '0', '5', '0'], ['SIK9', '', '17.172', '', '', '', '0', '', ''], ['SIN9', '', '17.225', '', '', '', '0', '120', '0'], ['SIU9', '', '', '', '', '', '0', '', ''], ['SIZ9', '', '17.394', '', '', '', '0', '126', '0'], ['SIN0', '', '17.582', '', '', '', '0', '1', '0'], ['SIZ0', '', '17.754', '', '', '', '0', '312', '0'], ['SIN1', '', '17.927', '', '', '', '0', '', ''], ['SIZ1', '', '18.100', '', '', '', '0', '', ''], ['SIN2', '', '18.272', '', '', '', '0', '', '']]
2017-10-05 13:45 Thu // ['185543', '74152', '0'] // ['SIZ7', '16.650', '16.624', '16.620', '16.770', '16.590', '46835', '144695', '0'] // [['SIV7', '16.620', '16.563', '16.650', '16.710', '16.620', '19', '556', '0'], ['SIX7', '16.630', '16.595', '16.570', '16.740', '16.565', '49', '269', '0'], ['SIZ7', '16.650', '16.624', '16.620', '16.770', '16.590', '46835', '144695', '0'], ['SIF8', '16.705', '16.656', '16.660', '16.795', '16.630', '122', '312', '0'], ['SIH8', '16.735', '16.719', '16.705', '16.855', '16.690', '1330', '23066', '0'], ['SIK8', '16.795', '16.782', '16.910', '16.910', '16.795', '316', '6622', '0'], ['SIN8', '16.960', '16.845', '16.960', '16.960', '16.960', '92', '3453', '0'], ['SIU8', '', '16.912', '', '', '', '5', '2427', '0'], ['SIZ8', '17.090', '17.010', '16.980', '17.090', '16.980', '36', '3530', '0'], ['SIF9', '', '17.058', '', '', '', '0', '49', '0'], ['SIH9', '', '17.104', '', '', '', '0', '5', '0'], ['SIK9', '', '17.150', '', '', '', '0', '', ''], ['SIN9', '', '17.203', '', '', '', '0', '120', '0'], ['SIU9', '', '', '', '', '', '0', '', ''], ['SIZ9', '', '17.372', '', '', '', '0', '126', '0'], ['SIN0', '', '17.560', '', '', '', '0', '1', '0'], ['SIZ0', '', '17.732', '', '', '', '0', '312', '0'], ['SIN1', '', '17.905', '', '', '', '0', '', ''], ['SIZ1', '', '18.078', '', '', '', '0', '', ''], ['SIN2', '', '18.250', '', '', '', '0', '', '']]
2017-10-06 13:45 Fri // ['184165', '56652', '74'] // ['SIZ7', '16.750', '16.638', '16.610', '16.890', '16.345', '97741', '143661', '57'] // [['SIV7', '16.710', '16.582', '16.590', '16.710', '16.430', '24', '537', '0'], ['SIX7', '16.780', '16.611', '16.610', '16.820', '16.355', '77', '281', '0'], ['SIZ7', '16.750', '16.638', '16.610', '16.890', '16.345', '97741', '143661', '57'], ['SIF8', '16.780', '16.669', '16.660', '16.895', '16.375', '238', '320', '0'], ['SIH8', '16.845', '16.732', '16.700', '16.965', '16.435', '4230', '23590', '0'], ['SIK8', '16.935', '16.795', '16.775', '17.000', '16.535', '1151', '6108', '0'], ['SIN8', '16.565', '16.858', '16.835', '16.835', '16.565', '619', '3055', '0'], ['SIU8', '17.065', '16.924', '17.080', '17.080', '17.065', '52', '2444', '17'], ['SIZ8', '17.225', '17.021', '16.980', '17.225', '16.820', '172', '3556', '0'], ['SIF9', '', '17.068', '', '', '', '0', '49', '0'], ['SIH9', '', '17.118', '', '', '', '0', '5', '0'], ['SIK9', '', '17.168', '', '', '', '0', '', ''], ['SIN9', '', '17.226', '', '', '', '0', '120', '0'], ['SIU9', '', '', '', '', '', '0', '', ''], ['SIZ9', '', '17.395', '', '', '', '0', '126', '0'], ['SIN0', '', '17.583', '', '', '', '0', '1', '0'], ['SIZ0', '', '17.755', '', '', '', '0', '312', '0'], ['SIN1', '', '17.928', '', '', '', '0', '', ''], ['SIZ1', '', '18.101', '', '', '', '0', '', ''], ['SIN2', '', '18.273', '', '', '', '0', '', '']]
